salary,city,positionName,positionUrl,industryField,secondType,address,workYear,companyFullName,createTime
10k-20k,北京,Python,https://www.lagou.com/jobs/2405039.html,"移动互联网,电子商务",后端开发,海淀区,1-3年,北京掌控世代科技有限公司,2017-07-20 09:03:56
10k-18k,北京,Python开发工程师(J10644),https://www.lagou.com/jobs/2842698.html,医疗健康,软件开发,海淀区,1-3年,北大医疗信息技术有限公司,2017-07-20 10:12:56
10k-20k,北京,Python开发工程师,https://www.lagou.com/jobs/3265326.html,"移动互联网,企业服务",后端开发,朝阳区,1-3年,超对称（北京）科技有限公司,2017-07-20 18:26:47
10k-20k,北京,Python 开发工程师,https://www.lagou.com/jobs/3298616.html,金融,后端开发,海淀区,3-5年,北京弘合柏基金融信息服务有限责任公司,2017-07-19 13:59:21
8k-15k,北京,Python开发工程师,https://www.lagou.com/jobs/3272647.html,"移动互联网,电子商务",后端开发,海淀区,1-3年,店商互联（北京）科技发展有限公司,2017-07-20 09:38:04
10k-20k,北京,python研发工程师,https://www.lagou.com/jobs/3207708.html,文化娱乐,后端开发,海淀区,5-10年,北京多牛互动传媒股份有限公司,2017-07-19 15:22:37
8k-15k,北京,python研发工程师（初级）,https://www.lagou.com/jobs/3098745.html,"移动互联网,旅游",后端开发,朝阳区,1-3年,乐飞天下信息技术(北京)有限公司,2017-07-20 09:17:56
10k-20k,北京,python开发工程师,https://www.lagou.com/jobs/2886671.html,文化娱乐,后端开发,海淀区,3-5年,新浪网技术（中国）有限公司,2017-07-20 10:15:34
10k-20k,北京,python工程师（无人车方向）,https://www.lagou.com/jobs/2896272.html,移动互联网,软件开发,朝阳区,1-3年,北京图森互联科技有限责任公司,2017-07-20 13:59:00
10k-20k,北京,Python工程师,https://www.lagou.com/jobs/2879221.html,数据服务,后端开发,海淀区,3-5年,北京智慧星光信息技术有限公司,2017-07-20 10:00:37
8k-16k,北京,Python开发工程师,https://www.lagou.com/jobs/2766848.html,信息安全,后端开发,海淀区,3-5年,北京神州绿盟信息安全科技股份有限公司,2017-07-19 09:52:36
12k-24k,北京,Service Engineer - Python,https://www.lagou.com/jobs/3105835.html,"移动互联网,企业服务",后端开发,朝阳区,1-3年,维我软件（上海）有限公司北京分公司,2017-07-20 10:14:14
10k-16k,北京,服务器端开发工程师（Python）,https://www.lagou.com/jobs/1230540.html,"移动互联网,游戏",后端开发,朝阳区,1-3年,北京凯奇谷信息技术股份有限公司,2017-07-19 14:59:05
10k-20k,北京,python开发工程师,https://www.lagou.com/jobs/3332468.html,移动互联网,后端开发,海淀区,3-5年,北京快乐茄信息技术有限公司,2017-07-11 11:29:46
13k-25k,北京,Python,https://www.lagou.com/jobs/2483626.html,"数据服务,企业服务",后端开发,海淀区,不限,北京凌云雀科技有限公司,2017-07-20 11:52:09
10k-20k,北京,Python,https://www.lagou.com/jobs/2405039.html,"移动互联网,电子商务",后端开发,海淀区,1-3年,北京掌控世代科技有限公司,2017-07-20 09:03:56
10k-18k,北京,Python开发工程师(J10644),https://www.lagou.com/jobs/2842698.html,医疗健康,软件开发,海淀区,1-3年,北大医疗信息技术有限公司,2017-07-20 10:12:56
10k-20k,北京,Python开发工程师,https://www.lagou.com/jobs/3265326.html,"移动互联网,企业服务",后端开发,朝阳区,1-3年,超对称（北京）科技有限公司,2017-07-20 18:26:47
