info,name,level
多年软件开发和IT教育工作，精通C/C++、Java、MySQL、Oracle、JSP、Servlet等编程语言和数据库系统。曾参与了《江苏电信网上营业厅系统》、《甘肃电信代理商系统》、《中央电视台媒体资产管理系统》等项目设计及研发。,刘老师,高级讲师
多年的软件开发实战经验，成功开发DCD新闻阅读、号簿管家、手机中彩网、电子菜单等多个android应用，曾主导车务通、财运达等多个产品的系统分析与设计开发 等服务器。对android系统及其开发技术十分了解和掌握。,曹老师,高级讲师
软件工程硕士、系统分析师，有多年软件开发经验和IT教学经验，对JavaEE体系、Android开发体系均有深入的研究。先后在多家软件公司担任核心研发人员或系统架构人员，注重培养学员的实际动手能力，并能帮助学员快速积累开发经验。,李老师,高级讲师
精通Java技术体系，尤其对Android的技术体系有深入的理解。曾先后就职于英济，日立（中国），彩经网 等互联网公司。曾带研发团队实施敏捷开发流程，企业内部办公管理系统、仓库进销存管理系统、安卓互联网应用的研发等。,李老师,高级讲师
"8年以上软件开发经验，精通Java、PHP、ASP等编程语言。曾负责国家计算机安全中心的531和242等课题的研究,信息产业部号码携带运维系统，中国移动的等多个电信领域的软件项目的设计及研发。",陈老师,高级讲师
"高级讲师,apkbus专家之一。在移动领域有多年实际开发和研究经验。精通HTML5、Oracle、J2EE 、Java WEB编程、对Android应用开发与平台开发有较深入研究，善于结合现实生活将复杂晦涩的理论讲解出来，并总结其规律性。",马老师,高级讲师
有丰富的开发和教学经验，在金融领域工作多年，前后就职于神州付、钱袋宝等知名互联网公司。精通java，对android系统有深入的研究。讲课通俗易懂，妙趣横生，善于用简单的例子解决复杂的问题，深得学员的喜爱。,刘老师,高级讲师
精通Java、MySQL、sqlite等编程语言和数据库系统，对Android framework、Android常用框架研究深入，Android电商、资讯、市场类客户端开发经验丰富，曾主导某上市企业Android广告sdk研发工作。,邱老师,高级讲师
曾任Mbp集团研发一部高级软件工程师，6年项目经验。曾参与日本某公司网上商城（jsp + struts2 + spring + DBFlute）研发，类似京东商城；物联网监管平台（建设工程质量检测全过程系统）等。讲课一针见血，发人深省。,刘老师,高级讲师
曾经参与过中国银行网点规划管理系统、河南移动网上营业厅、郑州市科技局门户网站等项目。2010年开始从事培训工作，讲课思路清晰，能够引导学生去主动思考，擅长结合生活案例和图解的方式使学习变得轻松有趣。,张老师,高级讲师
"多年软件开发经验，精通Spring Struts、Hibernate、shiro、mvc等常用web开发框架，精通Android、IOS移动开发,曾开发中国联通手机钱包支付、中国人民银行客户端等项目，对手机sim卡的开发见解独到。",金老师,高级讲师
"先后任职新浪、搜狗等大型互联网公司,多年Android开发经验。主导开发过新浪微盘,新浪微盾,搜狗问问等多款百万用户级的App。精通Android架构设计及代码重构，思维严谨，构思缜密，擅长用通俗易懂的语言来解释晦涩复杂的代码。",殷老师,高级讲师
精通Android系统，有丰富的IT行业实战经验，在系统源码、系统应用定制、Framework层定制方面有深入研究，曾是华为、联想等多个大型手机ROM开发工程的中流砥柱。学生寄语：当你的才华还撑不起你的野心时，应该静下心去学习。,唐老师,高级讲师
"多年软件研发经验,精通java、javascript、ssh、ssm等。参与项目：邦购商城、飞信android手机客户端、帮贷宝等android软件项目。曾在夏普Android项目组担任技术经理,带领团队研发智能电视app开发项目。",陈老师,高级讲师
